# This file should be in the working directory.
#
# Data from
# 'X-ray Data Booklet'
# Thompson, A.C. et al.
# Lawrence Berkeley National Laboratory, University of California, 2009,
# except those marked with *, adapted from 
# 'The Lund/LBNL Nuclear Data Search'
# Version 2.0, February 1999
# S.Y.F. Chu, L.P. Ekström and R.B. Firestone,
# and those marked with %, from fit to previouosly mentioned data.
#
# Photon energies and relative intensities of K-, L-, and M-shell lines, arranged by
# element. An intensity of 100 is assigned to the strongest line in each shell for each element.
#
# Z    Line     E (keV)   Relative intensity (%)
#------------------------------------------------
52 Te  Kα1      27.472    100 
52 Te  Kβ3      30.944    9 
52 Te  Kβ1      30.996    18 
52 Te  Kβ2      31.7      5 
53 I   Ll       3.485     4 
53 I   Lα2      3.926     11 
53 I   Lα1      3.938     100 
53 I   Lβ1      4.221     61 
53 I   Lβ2,15   4.508     19 
53 I   Lγ1      4.801     8 
53 I   Kα2      28.317    54 
53 I   Kα1      28.612    100 
53 I   Kβ3      32.239    9 
53 I   Kβ1      32.295    18 
53 I   Kβ2      33.042    5 
54 Xe  Ll       3.636     4 
54 Xe  Lα2      4.093     11 
54 Xe  Lα1      4.11      100 
54 Xe  Lβ1      4.414     60 
54 Xe  Lβ2,15   4.714     20 
54 Xe  Lγ1      5.034     8 
54 Xe  Kα2      29.458    54 
54 Xe  Kα1      29.779    100 
54 Xe  Kβ3      33.562    9 
54 Xe  Kβ1      33.624    18 
54 Xe  Kβ2      34.415    5 
55 Cs  Ll       3.795     4 
55 Cs  Lα2      4.272     11 
55 Cs  Lα1      4.287     100 
55 Cs  Lβ1      4.62      61 
55 Cs  Lβ2,15   4.936     20 
55 Cs  Lγ1      5.28      8 
55 Cs  Kα2      30.625    54 
55 Cs  Kα1      30.973    100 
55 Cs  Kβ3      34.919    9 
55 Cs  Kβ1      34.987    18 
55 Cs  Kβ2      35.822    6 
56 Ba  Ll       3.954     4 
56 Ba  Lα2      4.451     11 
56 Ba  Lα1      4.466     100 
56 Ba  Lβ1      4.827     60 
56 Ba  Lβ2,15   5.157     20 
56 Ba  Lγ1      5.531     9 
56 Ba  Kα2      31.817    54 
56 Ba  Kα1      32.194    100 
56 Ba  Kβ3      36.304    10 
56 Ba  Kβ1      36.378    18 
56 Ba  Kβ2      37.257    6 
57 La  Mα1      0.833     100 
57 La  Ll       4.124     4 
57 La  Lα2      4.634     11 
57 La  Lα1      4.651     100 
57 La  Lβ1      5.042     60 
57 La  Lβ2,15   5.383     21 
57 La  Lγ1      5.788     9 
57 La  Kα2      33.034    54 
57 La  Kα1      33.442    100 
57 La  Kβ3      37.72     10 
57 La  Kβ1      37.801    19 
57 La  Kβ2      38.73     6 
58 Ce  Mα1      0.883     100 
58 Ce  Ll       4.287     4 
58 Ce  Lα2      4.823     11 
58 Ce  Lα1      4.84      100 
58 Ce  Lβ1      5.262     61 
58 Ce  Lβ2,15   5.613     21 
58 Ce  Lγ1      6.052     9 
58 Ce  Kα2      34.279    55 
